#sjh_ID, date, SOL_event, duration, basepoint_X, std_X, basepoint_Y, std_Y, basepoint_X_longitude, basepoint_Y_latitude, max_height, upper_H, lower_H, avg_width, std_width, velocity, sigma, flag
sjh_2011-04-08T18_1,2011-04-08T18:28:08.000000,SOL2011-04-07T23:50:00L037C115,5.6,-239.222,0.0,-398.132,0.0,-16.0,-30.0,52.44141327233657,23.020151081756698,-15.997670692398605,13.568036151190055,0.0,nan,0.5170555647517379,110
sjh_2011-04-08T18_2,2011-04-08T18:43:44.000000,SOL2011-04-07T23:50:00L037C115,10.8,-242.81400000000002,0.058000000000006935,-301.6255,1.1065000000000111,-16.0,-24.0,76.90857266261025,23.614181941652433,-18.066884805111236,33.751336854707596,2.228679209769105,nan,0.46971483500688593,010
sjh_2011-04-08T19_1,2011-04-08T19:04:32.000000,SOL2011-04-07T23:50:00L037C115,5.6,-235.569,0.0,-298.557,0.0,-15.0,-23.0,36.4955568939563,10.519192181892876,-8.165603013926104,15.70905219928941,0.0,nan,0.39742411824159046,110
sjh_2011-05-27T08_1,2011-05-27T08:01:08.000000,SOL2011-05-27T07:40:18L038C079,5.6,-925.539,0.0,229.141,0.0,-89.0,13.0,70.43288689951585,30.697635643567164,-21.379530580837514,32.02999225725791,0.0,nan,0.5149500360014364,110
sjh_2011-05-27T08_2,2011-05-27T08:16:44.000000,SOL2011-05-27T07:40:18L038C079,94.2,-922.4886470588235,2.496075907150278,240.4053529411765,4.915119099043831,-89.0,14.0,344.26816880770434,116.53667410771602,-87.06476941555825,77.68402643541262,19.713839780716505,0.1839039363289019,0.4497441071586821,000
sjh_2011-05-27T09_1,2011-05-27T09:14:08.000000,SOL2011-05-27T07:40:18L038C079,26.4,-921.7923333333333,1.1833650699969818,243.11966666666663,5.3258872395957475,-89.0,14.0,276.8124427586303,70.1622169067106,-55.974619789352396,42.07286846173395,23.27424854644357,0.2218048419540307,0.4695438666476539,000
sjh_2011-05-27T22_1,2011-05-27T22:10:32.000000,SOL2011-05-27T21:40:29L028C078,14.0,-917.895,0.0,260.182,0.0,-89.0,15.0,53.018990833474014,15.417014185967727,-11.943925329556441,20.855258066012937,0.0,nan,0.3998032834872712,010
sjh_2011-05-27T22_2,2011-05-27T22:23:32.000000,SOL2011-05-27T21:40:29L028C078,16.0,-921.456,0.0,248.459,0.0,-89.0,15.0,69.9161409761723,18.900390155227498,-14.878337689664207,30.725743685059932,0.0,nan,0.380320278382835,010
sjh_2011-05-27T22_3,2011-05-27T22:23:32.000000,SOL2011-05-27T21:40:29L028C078,16.0,-921.456,0.0,248.459,0.0,-89.0,15.0,209.69339623602843,70.14068919517138,-52.55985634847654,24.734475474527496,0.0,nan,0.43847605396096445,010
sjh_2011-05-27T22_4,2011-05-27T22:38:32.000000,SOL2011-05-27T21:40:29L028C078,22.8,-919.1699999999998,4.184415371351184,251.29625000000001,8.670325264227396,-89.0,15.0,268.95338217559197,81.84738925578279,-62.7510939407706,57.039043968553806,11.854529151484357,0.37354636413276665,0.4833007873070126,000
sjh_2011-05-27T23_1,2011-05-27T23:16:32.000000,SOL2011-05-27T21:40:29L028C078,42.8,-919.823875,2.699729821551588,250.24487499999998,5.105234971024834,-89.0,15.0,171.64111609110455,41.26860317762965,-33.26944929173768,41.792329955311054,21.910625921716857,0.13753294558582096,0.45937549018700896,000
sjh_2011-05-28T00_1,2011-05-28T00:00:08.000000,SOL2011-05-28T00:00:02L027C078,182.4,-916.7135806451613,2.8012350936592196,260.36461290322575,5.320443740149083,-89.0,15.0,330.3596340005842,62.04467938409324,-52.23453686381673,60.53236174816241,27.89957469434057,0.06228499886888843,0.4727309179011801,000
sjh_2011-05-28T03_1,2011-05-28T03:12:32.000000,SOL2011-05-28T00:00:02L027C078,16.0,-906.2466666666666,3.3037067397428173,288.678,16.229669702944257,-89.0,17.0,209.00302718621091,87.8950185117276,-61.87418613805537,54.037504090327786,36.994338346398436,nan,0.4357876270034287,010
sjh_2011-05-28T03_2,2011-05-28T03:38:32.000000,SOL2011-05-28T00:00:02L027C078,5.6,-754.639,0.0,315.745,0.0,-57.0,18.0,59.05384532780231,17.858548792826884,-13.711911977886864,30.47814766353105,0.0,nan,0.4104729950441891,110
sjh_2011-05-28T03_3,2011-05-28T03:54:08.000000,SOL2011-05-28T00:00:02L027C078,21.2,-914.79525,1.2606413794176496,265.64425,4.015292727498219,-89.0,16.0,70.9330270959868,29.617473363563345,-20.893551310144353,44.407118178172496,14.855556969020773,0.0757831486068235,0.46513145729298544,000
sjh_2011-05-28T04_1,2011-05-28T04:40:56.000000,SOL2011-05-28T00:00:02L027C078,36.8,-915.6945000000001,1.2340819462256356,266.82733333333334,1.319271095045365,-89.0,16.0,302.67259293831006,76.08011159771293,-60.79788836498103,66.38611268374342,17.88644438510126,0.16168407742431093,0.4234951163549509,000
sjh_2011-05-28T05_1,2011-05-28T05:43:32.000000,SOL2011-05-28T00:00:02L027C078,26.4,-916.1948,4.235267519295554,258.48040000000003,12.313741618208502,-89.0,15.0,272.635213253901,79.2272492263899,-61.38801461257509,84.46888566927603,76.63967765322852,0.21845770292780528,0.4436580716339609,000
sjh_2011-05-28T06_1,2011-05-28T06:25:08.000000,SOL2011-05-28T00:00:02L027C078,52.4,-913.9227777777778,3.310360295187019,264.35611111111103,10.679135081960782,-89.0,16.0,307.2767319860063,120.27208222365256,-86.43881387708291,42.68282287999981,14.821740784518315,0.140694474352567,0.4829731010398695,000
sjh_2011-05-28T07_1,2011-05-28T07:17:08.000000,SOL2011-05-28T00:00:02L027C078,5.6,-922.839,0.0,231.495,0.0,-89.0,14.0,204.8885384769973,97.41230553291547,-66.02252460022669,200.8922745080059,0.0,nan,0.5406363672864339,110
sjh_2011-05-28T07_2,2011-05-28T07:27:32.000000,SOL2011-05-28T00:00:02L027C078,31.6,-917.848,6.955168495442773,261.33959999999996,11.33382245493549,-89.0,15.0,152.29776062043723,47.802880136938505,-36.383049891830915,38.46621426904024,15.954769638207994,0.0976267696284854,0.4550786119705553,000
